order_month,total_orders,total_sales
2016-09,3,267.36002
2016-10,308,49507.56
2016-12,1,10.9
2017-01,789,120312.55
2017-02,1733,247304.16
2017-03,2641,374348.62
2017-04,2391,359931.66
2017-05,3660,506081.3
2017-06,3217,433046.1
2017-07,3969,498041.94
2017-08,4293,573978.2
2017-09,4243,624405.94
2017-10,4568,664222.25
2017-11,7451,1.01025325e+06
2017-12,5624,743914.75
2018-01,7220,950017.7
2018-02,6694,844165.4
2018-03,7188,983197.6
2018-04,6934,996634.8
2018-05,6853,996499.7
2018-06,6160,865113.75
2018-07,6273,895497.9
2018-08,6452,854677.7
2018-09,1,145
